Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d logFC	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d FDR	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d logCPM
NM_001109657	Gas7|AW124766|B230343A10Rik|Gas7-cb|RP23-338M9.2|11 B3|11|protein-coding	3.38875693340612	6.02289341444812e-08	4.99861042302011
NM_027990	Lypd6b|2310010M24Rik|AW049525|RP23-190C17.1|2 C1.1|2|protein-coding	3.35834902373902	2.16039310259371e-05	2.01511419278527
NM_011703	Vipr1|AV071699|VIP-R1|VPAC1|-|9 F4|9 72.5 cM|protein-coding	3.2407619450395204	1.7824004763835198e-07	5.32918323687125
NM_001081115	Nccrp1|1190020J12Rik|Gm163|NCCRP-1|-|7 A3|7|protein-coding	3.15813985255796	3.50002928240711e-06	3.4560070413744404
NM_028775	Cyp2s1|1200011C15Rik|AU041727|C79779|-|7 A3|7|protein-coding	3.1572452105247795	2.6966563629403e-06	3.58404221443987
NM_007707	Socs3|Cis3|Cish3|EF-10|Ef10|SSI-3|Ssi3|RP23-268N22.6|11 E2|11|protein-coding	3.06075098031134	7.063534122410729e-07	6.2984610103054
NM_134156	Actn1|3110023F10Rik|Actn1a|-|12 C3|12 36.49 cM|protein-coding	3.0189508115421004	9.5600908842018e-07	6.42831051128623
NM_001276445	Tlr1|-|-|5 C3.1|5 33.53 cM|protein-coding	2.9739238105473	6.09152122207658e-06	3.9968346129734904
NM_011346	Sell|AI528707|CD62L|L-selectin|LECAM-1|Lnhr|Ly-22|Ly-m22|Lyam-1|Lyam1|-|1 H2.2|1 71.37 cM|protein-coding	2.93750084192905	7.99274082060228e-06	4.083575305407241
NM_001081977	Rnf144a|Rnf144|UIP4|Ubce7ip4|-|12|12 A3|protein-coding	2.87611827064708	6.09152122207658e-06	4.9935402549063
NM_011176	St14|Epithin|MT-SP1|Prss14|Tmprss14|mCAP3|matriptase|-|9 A4|9 16.61 cM|protein-coding	2.8599960833995004	1.9217419550713103e-05	3.8109268160996197
NM_177376	Myo3b|A430065P19Rik|RP23-337L20.2|2 C2|2|protein-coding	2.85688877266345	0.000124170699021058	2.5146220288731
NM_001204166	Rapgef4|1300003D15Rik|5730402K07Rik|6330581N18Rik|EPAC 2|Epac-2|Epac2|mKIAA4040|RP23-386I18.1|2 C3|2|protein-coding	2.80451903986053	0.000124170699021058	2.80211094527135
NM_013921	Prss30|2010015P21Rik|Disp|Disp1|Tmprss8|-|17 A3.3|17 12.17 cM|protein-coding	2.78551036538119	3.65266771315596e-05	3.74563201435791
NM_001198914	Myb|AI550390|M16449|c-myb|-|10 A3|10 9.75 cM|protein-coding	2.7789689508429	9.13780443899287e-05	3.15292244606875
NM_001289895	Tns1|1110018I21Rik|1200014E20Rik|AI648117|E030018G17Rik|E030037J05Rik|Tns|-|1 C3|1 38.17 cM|protein-coding	2.74326901591837	0.000210730191392075	2.79076440024118
NM_001177352	Myc|AU016757|Myc2|Niard|Nird|bHLHe39|-|15 D2-D3|15 26.19 cM|protein-coding	2.72507798205699	1.7606684567396697e-05	5.64768450390315
NM_011161	Mapk11|P38b|Prkm11|Sapk2|Sapk2b|p38-2|p38beta|p38beta2|-|15 E3|15|protein-coding	2.71846955505398	0.000366982676865062	2.49755712196353
NM_008372	Il7r|CD127|IL-7Ralpha|-|15 A1|15 4.16 cM|protein-coding	2.66465215541561	1.8395665061313396e-05	9.15999713988416
NM_026418	Rgs10|2310010N19Rik|-|7 F3|7|protein-coding	2.63107919894992	0.000729297065095424	2.42254981579243
NM_009741	Bcl2|AW986256|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik|-|1 E2.1|1 49.76 cM|protein-coding	2.60801486154313	3.28351507965472e-05	7.574818502465019
NM_176933	Dusp4|2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2|-|8 A4|8|protein-coding	2.42404349991094	0.00207947470064238	2.51905383042133
NM_011894	Sh3bp5|AI606498|SH3BP-5|Sab|-|14|14 B|protein-coding	2.40757792343546	0.000341480236531689	4.84029017246175
NM_177584	Btla|A630002H24|-|16 B5|16|protein-coding	2.3874511566920598	0.000307466108448138	5.39277197322098
NM_009706	Arhgap5|p190-B|p190B|-|12 C1|12 22.16 cM|protein-coding	2.38696452194515	0.00176182761887358	2.7852860110374396
NM_194464	Mrvi1|BB115629|Irag|Ris1|mCG_7238|7 F1|7 57.9 cM|protein-coding	2.37517252569494	0.00357895324804713	2.25637814466026
NM_133214	Smco4|Fn5|-|9 A2|9|protein-coding	2.34880000780791	0.000973737346055377	3.61438751271006
NR_003293	D030028A08Rik|-|RP23-353J21.9|11 D|11|ncRNA	2.34514524052975	0.00434217284613467	2.23163005786778
NM_183031	Gpr183|Ebi2|-|14 E5|14|protein-coding	2.33253547063915	0.000352816372677548	7.47284405467041
NM_001286857	Gpatch4|2610029K21Rik|Gpatc4|-|3 F1|3|protein-coding	2.31599851084971	0.00203175754900613	2.9728852393887
NM_019429	Prss16|AI448615|TSSP|RP23-9O16.20-001|13 A3-A5|13 8.12 cM|protein-coding	2.3119395026035203	0.004101098336556521	2.29721767707977
NM_024479	Wbscr27|AW492986|BC002286|-|5 G2|5|protein-coding	2.30096507898494	0.00140999027720207	3.5930773411721098
NR_105976	Mir7009|mmu-mir-7009|-|-|ncRNA	2.2842551851157795	0.005808444314446579	2.03052026319098
NM_010165	Eya2|Eab1|RP23-138C10.1|2 H3|2 85.83 cM|protein-coding	2.25508721766654	0.00114975750486079	4.67156058024868
NM_173744	Tdrp|2610019F03Rik|-|8 A1.1|8|protein-coding	2.25371631356191	0.00240160054167386	3.13211892515096
NM_001038602	Marveld2|BC003296|MARVD2|Mrvldc2|Tric|Trica|Tricb|Tricc|-|13 D1|13|protein-coding	2.2485044335442597	0.0018935503397334897	3.67252936855829
NM_008816	Pecam1|C85791|Cd31|PECAM-1|Pecam|RP23-247J12.1|11 E1|11|protein-coding	2.21123117375445	0.0010682104954880401	6.239080859562651
NM_026268	Dusp6|1300019I03Rik|MKP-3|MKP3|PYST1|-|10|10 C3|protein-coding	2.2100405486795296	0.00143644171827995	4.7245690212305895
NM_183201	Slfn5|AI956840|RP23-392I13.5|11 C|11|protein-coding	2.15058052048759	0.00175651528837052	5.54865107083791
NM_021384	Rsad2|2510004L01Rik|Vig1|cig5|-|12|12 A3|protein-coding	2.11766434691256	0.00631822285921761	2.78263976343661
NM_010016	Cd55|Daf|Daf-GPI|Daf1|GPI-DAF|AC111067.1|1 E4|1 56.89 cM|protein-coding	2.1032045101884	0.00254368909221257	5.00670808762354
NM_030710	Slamf6|KAL1|KAL1b|Ly108|NTB-A|NTBA|SF2000|-|1 H3|1 79.54 cM|protein-coding	2.0742102284072	0.00240632831622595	6.605972072828161
NM_007974	F2rl1|Gpcr11|PAR-2|Par2|-|13 D1|13 49.53 cM|protein-coding	2.0574722700184096	0.0043082922149539	4.34032708749946
NM_030014	Hook1|A930033L17Rik|azh|RP23-80B16.4|4 C5|4 44.17 cM|protein-coding	2.05057968375393	0.007432968951119359	3.27514866724414
NR_002844	Tsix|-|-|X D|X 46.13 cM|ncRNA	2.04522009434173	0.0033476246432561103	5.60765551980141
NM_001024602	Cep170b|AI466840|AW555464|Kiaa0284|mKIAA0284|-|12 F1|12 61.2 cM|protein-coding	1.9878104847045202	0.007247611509873491	3.84344202540897
NM_029499	Ms4a4c|5830413L19Rik|AI449185|Ms4a9|-|19 A|19|protein-coding	1.96824440346921	0.0053197296377216294	5.651978151431741
NM_009910	Cxcr3|Cd183|Cmkar3|RP23-49C8.4|X D|X 44.58 cM|protein-coding	1.8953896479321999	0.00663222785439143	8.97409890002948
NM_011464	Spint2|AL024025|C76321|HAI-2|-|7 B1|7|protein-coding	1.87841446020499	0.0093296831879058	5.5023332104124405
