Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGlo-LCMV-7d vs. RNA-LCMV-0d logFC	KLRGlo-LCMV-7d vs. RNA-LCMV-0d FDR	KLRGlo-LCMV-7d vs. RNA-LCMV-0d logCPM
NR_033657	Miat|3632434I06|A230057G18Rik|Rncr2|gomafu|-|5 F|5|ncRNA	-10.7018569488369	1.1368815923678601e-16	2.53954096011106
NM_015789	Dkkl1|AI414495|SGY|SGY-1|SGY1|Soggy|mSgy|-|7 B4|7 29.19 cM|protein-coding	-10.587026657663	4.31503914806724e-16	2.4269581524482002
NM_206941	Ltk|-|RP23-22A15.10-002|2 E5|2 59.97 cM|protein-coding	-10.5568318944624	6.10929490018172e-16	2.39738372538156
NR_028591	Gm14005|OTTMUSG00000015351|-|2 F1|2|ncRNA	-10.5181774518379	9.374678697183392e-16	2.3595419865106897
NM_134250	Havcr2|TIM-3|Tim3|Timd3|RP23-248K2.7|11 B1.1|11|protein-coding	-10.508126541176699	4.241927168784721e-31	5.498250237533701
NM_001013373	Tmprss13|BC010843|Tpmrss13|-|9 A5.2|9|protein-coding	-10.454091829931	1.95715700508695e-15	2.2968510423688997
NM_001284525	Chit1|2300002L19Rik|-|1 E4|1|protein-coding	-10.3697615955787	5.00413433358688e-15	2.21444968949947
NM_007532	Bcat1|BCATc|Eca39|RP24-347A16.1|6 G3|6 77.27 cM|protein-coding	-10.3522874657191	6.10932031516902e-15	2.1973890380756598
NM_026820	Ifitm1|1110036C17Rik|DSPA2a|Mil-2|Mil2|-|7|7 F5|protein-coding	-10.3256729036975	8.18665133423405e-15	2.1714135922258504
NM_013603	Mt3|Mt-3|-|8 C5|8 46.29 cM|protein-coding	-10.1945354315574	3.6486124227886304e-14	2.04359653733509
NM_001033228	Itga1|CD49A|E130012M19Rik|Vla1|-|13 D2.2|13 64.61 cM|protein-coding	-10.0541833069174	1.08093791215435e-28	5.04593739335269
NM_138653	Bspry|-|RP24-189G18.5|4|4 C1|protein-coding	-9.81537563379721	1.89992092653423e-27	4.8082153148455
NM_010128	Emp1|I-8-09|TMP|-|6 G1|6 66.25 cM|protein-coding	-9.727911647668211	1.1381673560536e-35	6.90478752707618
NM_133851	Nusap1|2610201A12Rik|AI481307|ANKT|AW547774|BB165529|BM037|LNP|NuSAP|Q0310|SAPL|RP23-22A15.4|2 E5|2|protein-coding	-9.38710847065395	4.2382327239390294e-29	5.2967809464362094
NM_001145198	1500009L16Rik|2700050C19Rik|OCC-1|-|10 C1|10|protein-coding	-9.378591656008108	4.38295940953367e-25	4.37394257690708
NM_008196	Gzmk|-|-|13 D2.2|13|protein-coding	-9.24114018947668	7.129228553402519e-34	6.67610350285557
NM_017407	Spag5|AI874642|D11Bhm180e|Deepest|MAP126|Mastrin|S17|RP23-185A18.13-001|11 B5|11 46.74 cM|protein-coding	-9.00106431203019	3.30252092383486e-29	5.467469535334951
NM_146119	Fam129b|9130404D14Rik|RP23-94M9.1|2 B|2|protein-coding	-8.55315368465242	8.718996659363359e-21	3.55588804654297
NM_001145953	Lgals3|GBP|L-34|Mac-2|gal3|-|14 C1|14|protein-coding	-8.53935289156362	3.77177973043865e-35	8.36577959536407
NM_021334	Itgax|AI449405|Cd11c|Cr4|N418|-|7 F3|7|protein-coding	-8.5256645704464	1.1381673560536e-35	9.10454839300913
NM_011311	S100a4|18A2|42a|Capl|FSp1|Mts1|PeL98|metastasin|pk9a|-|3 F1-F2|3 39.27 cM|protein-coding	-8.44762355743945	1.1381673560536e-35	9.48032878187993
NM_013542	Gzmb|AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB|-|14 D3|14 28.19 cM|protein-coding	-8.427136517531942	1.1381673560536e-35	9.849736638645311
NM_007548	Prdm1|Blimp-1|Blimp1|PRDI-BF1|ZNFPR1A1|b2b1765Clo|-|10 B2|10 23.24 cM|protein-coding	-8.38817865612329	2.05050999476799e-27	5.25722035119421
NM_008479	Lag3|CD223|LAG-3|Ly66|-|6 F2|6|protein-coding	-8.30511528481694	5.530172088222049e-27	5.17465033126462
NM_008630	Mt2|AA409533|MT-II|Mt-2|-|8 C5|8 46.32 cM|protein-coding	-8.257332688435909	3.06169716276363e-19	3.26390148973217
NM_009915	Ccr2|Cc-ckr-2|Ccr2a|Ccr2b|Ckr2|Ckr2a|Ckr2b|Cmkbr2|mJe-r|-|9 F|9 75.05 cM|protein-coding	-8.22006021504837	2.47155871234612e-32	7.37318763832292
NM_028341	Ttc39c|1700008N02Rik|2810439F02Rik|-|18|18 A2|protein-coding	-8.20832940070253	1.75863928217569e-27	5.3907777216711406
NM_011313	S100a6|2A9|5B10|CALCYCLIN|Cacy|PRA|-|3 F1-F2|3 39.35 cM|protein-coding	-8.20317934416215	1.6247522155943996e-34	9.3668502206655
NM_178395	Zdhhc2|5730415P04Rik|6430583A19Rik|-|8 A4|8|protein-coding	-8.16879214331091	9.33526775994487e-25	4.64010476519334
NM_197959	Kif18b|3000004C01Rik|RP23-463E7.6|11 E1|11|protein-coding	-8.132794881140459	4.0922660678065295e-27	5.31570198506339
NM_001045543	Heatr9|Gm11435|OTTMUSG00000000990|RP23-320E6.1|11 C|11|protein-coding	-8.12847390818912	1.5392158500471498e-24	4.60010304928716
NM_146064	Soat2|ACAT2|D15Wsu97e|-|15 F3|15 57.33 cM|protein-coding	-8.1220377259274	2.34939126244109e-22	4.040210947940951
NM_001033484	Iqgap3|AI593484|D030034H08|-|3 F1|3 38.78 cM|protein-coding	-8.01830724600307	5.40709057544781e-18	3.0285888451947796
NM_001291892	Gp49a|gp49|-|10 B3|10|protein-coding	-7.9877162994927895	8.647998276517649e-24	4.4605216630356
NM_021542	Kcnk5|TASK-2|-|14 A3|14|protein-coding	-7.98533766260739	2.95626924616387e-28	5.83249604187943
NM_153544	BC030867|-|RP23-461C4.3|11 D|11|protein-coding	-7.98355684828797	8.14755532395359e-18	2.9944300188904
NM_001136068	Klrc1|CD159a|NKG2A|NKG2B|RP23-145F22.5|6|6 G1-2|protein-coding	-7.9696791656896195	4.7048837258221496e-30	6.61361392231105
NM_015736	Galnt3|-|RP23-306G16.2|2|2 C3|protein-coding	-7.936665818138981	2.00823437924991e-21	3.85682504367154
NM_025581	Ska1|2810433K01Rik|AV117428|-|18 E2|18|protein-coding	-7.863099000813639	3.4193007476512297e-17	2.87613374205883
NM_026785	Ube2c|1110015A16Rik|D2Ertd695e|RP23-370H21.6|2 H3|2 85.27 cM|protein-coding	-7.85015077526137	5.61120150323166e-28	5.86527236484993
NM_010019	Dapk2|-|-|9 C|9 35.75 cM|protein-coding	-7.84372976055262	4.8912497877310996e-23	4.31786164657731
NM_008337	Ifng|IFN-g|Ifg|-|10 D2|10 66.75 cM|protein-coding	-7.8099557833165	2.84912066874162e-31	7.76797000445518
NR_104577	0610040F04Rik|-|RP23-131B11.3|6 E2|6|ncRNA	-7.761751016508679	1.37930058540691e-22	4.2366986660622
NM_008153	Cmklr1|ChemR23|DEZ|Gpcr27|mcmklr1|-|5 F|5|protein-coding	-7.650992512070959	1.77201818590463e-24	4.83745963748294
NM_001160127	Smyd1|4632404M21Rik|Bop|C78565|Zmynd18|-|6 C1|6 32.14 cM|protein-coding	-7.647701034363509	5.209735019669699e-22	4.12386241471572
NM_013552	Hmmr|AA386826|CD168|Rhamm|RP23-382C18.3|11 A5|11 24.4 cM|protein-coding	-7.58472440641258	1.0986151602002599e-21	4.0615976532488
NM_009917	Ccr5|AM4-7|CD195|Cmkbr5|-|9 F|9 75.05 cM|protein-coding	-7.51932501202237	6.150196684649029e-29	6.87631898070198
NM_021397	Zbtb32|4930524C15Rik|FAXF|FAZF|PLZP|Rog|Tzfp|-|7 B2-B3|7|protein-coding	-7.49109378119951	4.54402899318197e-26	5.5087193714596
NM_133888	Smpdl3b|1110054A24Rik|AU045240|Asml3b|RP23-442A20.3|4 D2.3|4|protein-coding	-7.426968415251861	1.03699584169738e-25	5.44510995035259
NM_026515	2810417H13Rik|AA409629|Ns5apt9|Ns5atp9|PAF15|Paf|mKIAA0101|p15(PAF)|-|9 C|9|protein-coding	-7.41076183342428	6.723180253671671e-27	5.952389446129321
NM_011352	Sema7a|2900057C09Rik|CDw108|H-Sema-L|M-Sema-L|Semal|-|9|9 A3.3-B|protein-coding	-7.3060167001050305	1.26876451758192e-22	4.4958611597262
NM_023612	Esm1|0610042H23Rik|AV004503|ESM-1|-|13 D2.2|13|protein-coding	-7.285907118686691	1.73164914043249e-24	5.13828077989597
NM_146001	Hip1|2610109B09Rik|A930014B11Rik|E130315I21Rik|mKIAA4113|-|5 F-G2|5 75.18 cM|protein-coding	-7.25833183070508	5.8665658213205295e-28	6.8992608374333
NM_011498	Bhlhe40|Bhlhb2|C130042M06Rik|CR8|Clast5|Dec1|Sharp2|Stra13|Stra14|-|6|6 E-F1|protein-coding	-7.23392420357154	2.0998953995315695e-29	8.980613939255038
NM_001081656	Neurl1b|C230078M08Rik|EG240055|-|17 A3.3|17|protein-coding	-7.2284749694033	5.13036006464964e-14	2.25629826015589
NM_007630	Ccnb2|CycB2|-|9 D|9|protein-coding	-7.1993956441138	2.4141525101761398e-27	6.61966398499756
NM_001029872	Itgad|Cd11d|-|7 F3|7|protein-coding	-7.1673004163274205	6.234317912101249e-22	4.35874425087349
NM_001109657	Gas7|AW124766|B230343A10Rik|Gas7-cb|RP23-338M9.2|11 B3|11|protein-coding	-7.1574951888355605	1.2562089445415e-22	4.60500347869012
NM_010892	Nek2|AA617254|C77054|-|1 H6|1 96.94 cM|protein-coding	-7.157412576777741	8.647998276517649e-24	5.0110475663630005
NM_027290	Mcm10|2410041F14Rik|AU018508|C330019M07Rik|C79164|RP23-379M5.1|2 A1|2|protein-coding	-7.14301424147442	8.64858987668002e-21	4.02341082091238
NM_172453	Pif1|4631410M14|AI449441|-|9 C|9|protein-coding	-7.080230773868071	2.98502173156316e-22	4.52863740493829
NM_001014976	Espl1|AL024103|AU045071|Cerp|ESP1|PRCE|SSE|-|15 F3|15|protein-coding	-7.05287222630794	6.51530446780811e-25	5.59756911747622
NM_019549	Plek|2010300B13Rik|RP23-348N2.1|11 A2|11 9.41 cM|protein-coding	-7.03827465550435	1.8987843890872499e-28	8.878641070788492
NM_010177	Fasl|APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld|-|1 H2.1|1 69.95 cM|protein-coding	-7.02044391905302	1.59992444507383e-23	5.04244170364509
NM_028135	Tmem163|2610024A01Rik|SV31|-|1 E3|1|protein-coding	-7.019061225629799	4.5934726726233205e-23	4.87418436483852
NM_011369	Shcbp1|mPAL|-|8|8 A1.2|protein-coding	-7.016737580139231	6.234317912101249e-22	4.46591878782062
NM_001113179	Bub1|AL022991|Bub1a|C80208|D2Xrf87|RP23-189N15.7|2 F1|2 62.1 cM|protein-coding	-7.01573819759653	1.6019511101566898e-22	4.68214833783566
NM_027881	Osbpl3|1200014M06Rik|6720421I08Rik|A530055M08|ORP3|OSBP3|-|6|6 B3|protein-coding	-7.01389948071587	2.58282162216093e-27	7.204479584889031
NM_001145801	Ctla2b|AW545568|Ctla-2b|-|13|13|protein-coding	-6.96483061795833	4.786383612937271e-25	5.80676649121045
NM_001081363	Cenpf|6530404A22Rik|AI325968|CENF|Lek1|PRO1779|mitosin|-|1 H6|1 95.03 cM|protein-coding	-6.951208499523999	3.8283754317445e-23	4.97397691268028
NM_011496	Aurkb|AIM-1|AIRK2|AL022959|Aik2|Aim1|Ark2|AurB|IPL1|STK-1|Stk12|Stk5|RP23-19I2.1|11 B3|11 42.32 cM|protein-coding	-6.944269830111869	9.33526775994487e-25	5.6942276325016
NM_011267	Rgs16|Rgs14|Rgsr|-|1 G3|1 65.43 cM|protein-coding	-6.92748469193983	1.8302132938901603e-21	4.37781312055949
NM_009987	Cx3cr1|-|-|9 F4|9|protein-coding	-6.92455415331082	7.460507145682841e-27	7.11590831661137
NM_028232	Sgol1|3300001M08Rik|C81037|Sgo1|-|17 C|17|protein-coding	-6.9039264423562	1.46307011615622e-20	4.0988571609822
NM_013653	Ccl5|MuRantes|RANTES|SISd|Scya5|TCP228|RP23-320E6.2|11 C|11 50.66 cM|protein-coding	-6.8642880424550095	5.20197515882754e-28	11.253736217925901
NM_001127382	Rbm47|9530077J19Rik|-|5 C3.1|5|protein-coding	-6.81378558495049	4.785582305857889e-19	3.69918173220944
NM_009185	Stil|Sil|RP23-295C20.5|4 D1|4|protein-coding	-6.811105836473169	1.8136487035238698e-21	4.480108724233929
NM_007659	Cdk1|Cdc2|Cdc2a|p34<CDC2>|-|10 B5.3|10 36.07 cM|protein-coding	-6.751253030356191	1.59165535020421e-23	5.40485039703456
NM_001081117	Mki67|D630048A14Rik|Ki-67|Ki67|-|7|7 F3-F5|protein-coding	-6.7063128542032695	2.71201614697246e-26	7.68957176110736
NM_001079876	Gas2l3|8430435B07Rik|Gm240|-|10 C2|10|protein-coding	-6.68404266144331	5.52992616670097e-17	3.1752687751062996
NM_181589	Ckap2l|2010016H04Rik|2610318C08Rik|AV070319|radmis|rdm|RP23-160G19.6|2 F1|2|protein-coding	-6.627419217472809	1.86194572262317e-21	4.654317951530429
NM_019507	Tbx21|TBT1|Tbet|Tblym|RP23-428N4.9|11|11 D|protein-coding	-6.571846669912291	1.21503030771418e-25	7.69186905101711
NM_024413	Plekhf1|1810013P09Rik|APPD|LAPF|PHAFIN1|ZFYVE15|-|7|7 B1|protein-coding	-6.524167266399489	3.72320215367424e-16	3.0189874184557497
NM_001291894	Lilrb4|CD85K|Gp49b|HM18|ILT3|LIR-5|gp49|-|10 25.5 cM|protein-coding	-6.50840613913936	4.58250429453145e-14	2.4560445344085897
NM_001164362	Cep55|1200008O12Rik|2700032M20Rik|-|19|19 C3|protein-coding	-6.49115961639804	6.20657431588205e-22	5.04248277930845
NM_029766	Dtl|2810047L02Rik|5730564G15Rik|Ramp|-|1 H6|1|protein-coding	-6.48387403229509	6.63920636101928e-22	5.0353009560390305
NM_010620	Kif15|3110023M17Rik|3930402I10Rik|D330038N01|HKLP2|Knsl7|b2b1117.1Clo|-|9 F4|9|protein-coding	-6.48031053506315	1.2354100596542198e-21	4.917840332836151
NM_175563	Prr11|B930067F20Rik|RP23-352L3.4|11 C|11|protein-coding	-6.44313206817732	1.0986151602002599e-21	4.9951488420155
NM_198605	Ska3|F630043A04Rik|-|14 C3|14|protein-coding	-6.43098651246554	7.73495012361412e-19	3.8891421981828795
NM_010683	Lamc1|Lamb2|-|1 G3|1 65.3 cM|protein-coding	-6.4196430783433795	1.3289505300468198e-23	6.214945809366849
NM_001146325	Tigit|ENSMUSG00000071552|Vstm3|-|16 B4|16|protein-coding	-6.399943846148401	2.42803282085091e-22	5.416906358436671
NM_009445	Ttk|AL022661|Esk1|Mps1|PYT|esk|-|9 E2|9|protein-coding	-6.378631898065731	1.4430159885755899e-18	3.8377775180022002
NM_144539	Slamf7|19A|19A24|4930560D03Rik|CRACC|CS1|-|1|1 H2|protein-coding	-6.36648634338873	2.1977010279905298e-23	6.20804750175815
NM_146191	Lrrk1|AW319595|C230002E15Rik|D130026O16Rik|mKIAA1790|-|7 C|7|protein-coding	-6.36334575041407	3.53203440703964e-23	6.0637242494022905
NM_134471	Kif2c|4930402F02Rik|ESTM5|Knsl6|MCAK|X83316|RP23-59L24.10-001|4 D1|4 53.42 cM|protein-coding	-6.3588268600479605	9.750843471259979e-21	4.67451660081261
NM_031376	Pik3ap1|1810044J04Rik|BCAP|-|19|19 D1|protein-coding	-6.35748871726099	1.43767878667987e-23	6.40758495129969
NM_007765	Crmp1|CRMP-1|DRP-1|Dpysl1|ULIP-3|Ulip3|-|5 B3|5 19.96 cM|protein-coding	-6.3271461113194905	4.4521384483381294e-21	4.88093468860016
NM_016970	Klrg1|2F1-Ag|MAFA|MAFA-L|-|6 F1|6 57.52 cM|protein-coding	-6.28410941615078	2.82006773360987e-21	5.042503316729911
NM_009791	Aspm|Calmbp1|D330028K02Rik|MCPH5|Sha1|AC158946.1|1 F|1|protein-coding	-6.25349014426179	2.73534302705445e-21	5.104445518011509
NM_010790	Melk|AI327312|MPK38|mKIAA0175|RP23-382O11.1|4 B1|4 23.46 cM|protein-coding	-6.249467257218191	7.929248471495619e-20	4.4317458925567195
NM_029617	Casc5|2310043D08Rik|5730505K17Rik|RP23-15I21.2|2 E5|2|protein-coding	-6.23862721654101	2.19917915180618e-19	4.27185513670856
NM_027533	Tspan2|6330415F13Rik|B230119D02Rik|tspan-2|-|3|3 F3|protein-coding	-6.22701095163665	2.6571032934018697e-21	5.1649345896697
NM_198664	Tbc1d2|A630005A06Rik|BC022630|Gm1037|PARIS-1|PARIS1|RP23-117B19.7|4 B1|4|protein-coding	-6.22612049082058	2.53964801875678e-19	4.25958109728234
NM_010553	Il18rap|AcPL|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1RAcPL|-|1 B|1|protein-coding	-6.21768058009693	4.26993146451357e-24	8.2935079623395
NM_019438	Ncapg|5730507H05Rik|Hcapg|MFT.M05.13|-|5 B3|5|protein-coding	-6.21495286139805	9.7124182748789e-22	5.45510475159746
NM_027930	Mtfr2|2610016C23Rik|4933412C16Rik|Dufd1|Fam54a|-|10 A3|10|protein-coding	-6.20571861739726	6.927940075490429e-16	3.1038642873047597
NM_053267	Selm|1500040L08Rik|A230103K18|Sepm|-|11 A1|11|protein-coding	-6.2050739434955	1.36734542247999e-12	2.16277551112465
NM_011057	Pdgfb|PDGF-B|Sis|-|15 E|15 37.85 cM|protein-coding	-6.1964220302631	1.3349626519468802e-17	3.6592999411866898
NM_026481	Tppp3|2700055K07Rik|CGI-38|Ceacam9|mmCGM8|-|8|8 D1|protein-coding	-6.186838646398701	1.50099187993962e-17	3.6499258823684104
NM_007484	Rhoc|AI324259|Arh9|Arhc|-|3 F2.2|3|protein-coding	-6.18680554127648	8.60385034146774e-16	3.08543771108571
NM_013602	Mt1|MT-I|Mt-1|-|8 C5|8 46.34 cM|protein-coding	-6.152467305933241	6.620946145332769e-20	4.59535198599776
NM_007585	Anxa2|AW215814|Cal1h|CT009708.1|9 C|9 38.58 cM|protein-coding	-6.1439625408088805	1.1492229980779099e-23	8.142379959009968
NM_008446	Kif4|AI323435|D330050K22Rik|Kns4|RP23-213F21.3|X C3|X 43.72 cM|protein-coding	-6.12541345467999	8.935947193986629e-21	5.06503264570314
NM_001287179	Kif14|D1Ertd367e|E130203M01|-|1 F|1 59.8 cM|protein-coding	-6.06979215381845	7.37593377105305e-19	4.25548374735404
NM_010391	H2-Q10|H-2Q10|Q10|Qa10|-|17 B1|17 18.68 cM|protein-coding	-6.04096803230772	4.91167971625734e-21	5.4141804974775605
NM_027182	Trip13|2410002G23Rik|D13Ertd328e|-|13 C1|13 40.15 cM|protein-coding	-6.03145586485497	5.58672616541087e-19	4.35307640004247
NM_181315	Car5b|7330410H16Rik|CAVB|Ca5b|CarVb|D730005F19Rik|RP23-391L6.3|X F5|X|protein-coding	-6.0096526224933	5.52889677878568e-20	4.864854054152429
NM_029440	Wdr95|4930434E21Rik|-|5 G3|5|protein-coding	-5.9985403366546395	3.29207975245604e-21	5.654245284583629
NM_001012273	Birc5|AAC-11|Api4|TIAP|survivin40|RP23-268N22.2|11|11 E2|protein-coding	-5.98986876519484	6.947290891763229e-22	6.2943581969295295
NM_007403	Adam8|CD156|CD156a|E430039A18Rik|MS2|-|7|7 F3-F5|protein-coding	-5.97574983005895	1.47640745283892e-21	6.03164479741289
NM_010730	Anxa1|Anx-1|Anx-A1|C430014K04Rik|Lpc-1|Lpc1|-|19 B|19 13.83 cM|protein-coding	-5.96388795338453	7.023461409311589e-21	5.5140227474813495
NM_013538	Cdca3|2410005A12Rik|C8|Grcc8|Tome-1|-|6 F2|6 59.17 cM|protein-coding	-5.96021090606269	8.733658007495359e-21	5.4542386035806105
NM_001285997	Prc1|D7Ertd348e|-|7 D3|7 45.62 cM|protein-coding	-5.9456710390999605	2.59637272785183e-21	5.922333738939249
NM_001290338	Zfand4|Anubl1|-|6|6 F1|protein-coding	-5.91617234413667	3.9866493267918803e-16	3.38576682387687
NM_008798	Pdcd1|Ly101|PD-1|Pdc1|-|1 D|1|protein-coding	-5.89896122565349	2.78365127103033e-20	5.27477280232415
NM_001082960	Itgam|CD11b/CD18|CR3|CR3A|Cd11b|F730045J24Rik|Ly-40|MAC1|Mac-1|Mac-1a|-|7|7 F4|protein-coding	-5.8832273665010595	1.2906071000528098e-21	6.53617657999458
NM_009828	Ccna2|AA408589|Ccn-1|Ccn1|Ccna|CycA2|Cyca|-|3 B|3 17.67 cM|protein-coding	-5.87767691573172	4.889336816626989e-22	7.2605901948752
NM_146061	Prr5|AU043908|Arhgap8|C030017C09Rik|C78947|Protor-1|Protor1|-|15|15 E|protein-coding	-5.872232864869879	5.07593581806296e-17	3.74695538698685
NM_011207	Ptpn3|9530011I20Rik|PTP-H1|PTPCL|RP23-293N9.2|4 B3|4 31.66 cM|protein-coding	-5.85444559683715	4.381308126798839e-15	3.07149843483016
NM_001077189	Fcgr2b|AI528646|CD32|F630109E10Rik|Fc[g]RII|FcgRII|Fcgr2|Fcgr2a|Fcr-2|Fcr-3|Ly-17|Ly-m20|LyM-1|Lym-1|fcRII|-|1 H3|1 78.02 cM|protein-coding	-5.84484035255398	9.21260969556135e-16	3.3163565249793194
NM_001033254	Pak6|4732456M09|RP23-204G5.2|2 E5|2|protein-coding	-5.84223458372842	2.71888403320443e-17	3.88388685082048
NM_146208	Neil3|AI449477|BC034753|C85903|-|8 B1.3|8|protein-coding	-5.81659382423361	1.42632703562741e-18	4.48549276495951
NM_010615	Kif11|Eg5|Kif8|Kifl1|Knsl1|-|19 C2|19|protein-coding	-5.80399190038913	6.691584098803e-21	6.111817231401269
NM_028039	Esco2|2410004I17Rik|D030072L07Rik|-|14 D1|14|protein-coding	-5.79916447632154	5.16049411710631e-18	4.2493245010914205
NM_001013368	E2f8|4432406C08Rik|AA410048|-|7 B4|7|protein-coding	-5.78263628490992	2.6789464858113798e-20	5.63381349253878
NM_001170867	Ncald|AI848120|D030020D09Rik|D15Ertd412e|-|15 B3.1|15 14.94 cM|protein-coding	-5.752021221970731	1.24772584139584e-20	6.06085720691852
NM_001199123	Spc25|2600017H08Rik|2610205L13Rik|Spbc25|RP23-431D4.3|2|2 C3|protein-coding	-5.70959861951865	1.51469572153288e-17	4.16189644931739
NM_015753	Zeb2|9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b|RP23-457H10.1|2|2 C1|protein-coding	-5.70717249192924	3.87704243946295e-19	5.02334484138838
NM_198100	Tbkbp1|3110043L15Rik|ProSAPiP2|SINTBAD|RP23-81D2.2|11 D|11|protein-coding	-5.7059488849777305	2.12436387296223e-19	5.20503079407095
