Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. Foxo1-KO-KLRGhi-LCMV-12d logFC	KLRGhi-LCMV-12d vs. Foxo1-KO-KLRGhi-LCMV-12d FDR	KLRGhi-LCMV-12d vs. Foxo1-KO-KLRGhi-LCMV-12d logCPM
NM_207668	Acpp|5'-NT|A030005E02Rik|FRAP|Lap|PAP|Ppal|9.104100899-104272570.1|9 F1|9|protein-coding	-2.29880109927399	0.00888990510787415	2.09936613859788
NM_028627	Psd|1110007H17Rik|A930015K15|Efa6|Efa6a|Psdl|mKIAA2011|-|19 C3|19 38.8 cM|protein-coding	-2.29767883790668	0.0056119107708974	2.46142979779736
NM_011798	Xcr1|Ccxcr1|Gpr5|mXcr1|-|9 F4|9 74.71 cM|protein-coding	-2.29028695818023	0.00341501436916819	2.8296582635306797
NM_027890	Susd2|1200011D11Rik|-|10|10 B5.3|protein-coding	-2.23935461679189	0.00673970352029178	2.35990523282735
NM_001110271	Abhd14a|1110013B16Rik|AW558221|Dorz1|-|9 F1|9|protein-coding	-2.23224993375297	0.00792693160820899	2.2976276591886498
NM_008519	Ltb4r1|BLT1|BLTR|Ltb4r|mBLTR|-|14 C3|14 28.19 cM|protein-coding	-2.19826912013337	0.0045447364013105	3.05156974429004
NM_027571	P2ry12|2900079B22Rik|4921504D23Rik|P2Y12|-|3 D|3|protein-coding	-2.19329331452431	0.0093654998085619	2.2664407107674904
NM_172442	Dtx4|AI449438|BC044798|D930042H13|RNF155|-|19 A|19|protein-coding	-2.13252849260314	0.00295493245641596	4.35055281351488
NM_023128	Palm|-|-|10 C1|10 39.72 cM|protein-coding	-2.00020592931787	0.005506793632468971	5.182488930235491
NM_011723	Xdh|XO|Xor|Xox-1|Xox1|-|17 E2|17 45.25 cM|protein-coding	-1.9763858043030602	0.00517485330666774	6.52058278006245
NM_018805	Hs3st3b1|3-OST-3B|3OST3B1|3Ost3b|AU041882|AW536289|Hs3st3b|m3-OST-3B|RP23-407M20.2|11 B3|11 39.47 cM|protein-coding	-1.96170595334691	0.0061682544312571	5.430407378853809
